src_var,dst_var,src_comp,dst_comp
O_SSTSST,SISUTESU,nemo-gelato,arpege-surfex
OIceFrc,SIICECOV,gelato,arpege-surfex
O_AlbIce,SIALBEDO,gelato,arpege-surfex
O_TepIce,SIICETEM,gelato,arpege-surfex
O_OCurx1,SIUOCEAN,nemo-gelato,arpege-surfex
O_OCury1,SIVOCEAN,nemo-gelato,arpege-surfex
COZOTAUX,O_OTaux1,arpege-surfex,nemo-gelato
COMETAUY,O_OTauy1,arpege-surfex,nemo-gelato
COTAUMOD,O_TauMod,arpege-surfex,nemo-gelato
COWINMOD,O_Wind10,arpege-surfex,nemo-gelato
COSUBLIM,OlceEvap,arpege-surfex,gelato
CONSFICE,O_QnsIce,arpege-surfex,gelato
COSHFICE,O_QsrIce,arpege-surfex,gelato
COTOSOPR,OTotSnow,arpege-surfex,nemo-gelato
COTOLIPR,OTotRain,arpege-surfex,nemo-gelato
COTHSHSU,OTotEvap,arpege-surfex,nemo-gelato
CONSFTOT,O_QnsMIx,arpege-surfex,nemo-gelato
COSHFTOT,O_QsrMix,arpege-surfex,nemo-gelato
SXRUNOFF,TRRUNOFF,arpege-surfex,trip
SXDRAIN,TRDRAIN,arpege-surfex,trip
SXCALV,TRCALV,arpege-surfex,trip
SXSRCFLD,TRSRCFLD,arpege-surfex,trip
TRTWS,SXTWS,trip,arpege-surfex
TRWTD,SXWTD,trip,arpege-surfex
TRFWTD,SXFWTD,trip,arpege-surfex
TRFFLD,SXFFLD,trip,arpege-surfex
TRPIFLD,SXPIFLD,trip,arpege-surfex
TRRIVDIS,O_Runoff,trip,nemo-gelato
TRCALVGR,Ocalvigr,trip,nemo-gelato
TRCALVAN,Ocalvian,trip,nemo-gelato
LKWATBUD,OLakeWat,arpege-surfex,trip